Reference,Quantity,Description,Manufacturer,Part Number,Digi-Key P/N
C1 C7,2,CAP CER 18PF 50V NP0 0603,Samsung,CL10C180FB8NNNC,1276-2206-1-ND
C2 C3 C4 C5 C6 C10 C11 C15 C17 C18 C21 C23 C26 C28 C29,15,CAP CER 0.1UF 50V X7R 0603,Samsung,CL10B104JB8NNNC,1276-1033-1-ND
C8 C9,2,CAP CER 1UF 25V X7R 0603,Samsung,CL10B105KA8NNNC,1276-1184-1-ND
C12 C14,2,CAP 22 UF 20% 25 V,Wurth,865230443003,732-8260-1-ND
C13,1,CAP CER 0.47UF 25V X7R 0603,Samsung,CL10B474KA8NFNC,1276-2082-1-ND
C16 C19,2,CAP 47 UF 20% 25 V,Wurth,865230445005,732-8262-1-ND
C20 C22 C24 C30,4,CAP CER 1000PF 50V X7R 0603,Samsung,CL10B102JB8NNNC,1276-1194-1-ND
C25 C27,2,CAP CER 100PF 50V C0G/NP0 0603,Samsung,CL10C101FB8NNNC,1276-2159-1-ND
C31,1,CAP CER 47PF 50V NP0 0603,Samsung,CL10C470FB8NNNC,1276-2293-1-ND
C32,1,CAP 10 UF 20% 25 V,Wurth,865230440002,732-8259-1-ND
D1 D2,2,DIODE SCHOTTKY 40V 1A SOD123,Diodes Incorporated,1N5819HW-7-F,1N5819HW-FDICT-ND
H1,1,CONN RCPT 9POS 0.1 GOLD SMD,Samtec,SSM-109-S-SV-BE,SSM-109-S-SV-BE-ND
H2,1,IDC BOX HEADER 0.050 10 POS,CNC Tech,3220-10-0300-00,1175-1629-ND
H4,1,CONN RCPT 5POS 0.1 GOLD SMD,Samtec,SSM-105-S-SV-BE,SSM-105-S-SV-BE-ND
H5,1,CONN HEADER VERT 10POS GOLD,On Shore Technology,302-S101,ED1543-ND
J1 J2 J3 J4 J5 J6,6,3.5MM JACK VERTICAL PCB MOUNT,Wenzhou QingPu,WQP-PJ398SM,N/A
P1 P2 P5 P7,4,POT 9MM LINEAR B10K,Song Huei,"R0904N-B10K,L-25KQ/LWS",N/A
P3 P4 P6,3,POT 9MM LINEAR B10K CENTER,Song Huei,"R0904N-B10K,L-25KQ/LWS/CC",N/A
Q1,1,TRANS NPN 40V 0.2A SOT23,ON Semiconductor,MMBT3904LT1G,MMBT3904LT1GOSCT-ND
R1 R5,2,RES SMD 10K OHM 0.1% 1/10W 0603,Susumu,RG1608P-103-B-T5,RG16P10.0KBCT-ND
R2 R3,2,RES SMD 100 OHM 1% 1/10W 0603,Panasonic,ERJ-3EKF1000V,P100HCT-ND
R4 R31,2,RES SMD 1K OHM 0.1% 1/10W 0603,Susumu,RG1608P-102-B-T5,RG16P1.0KBCT-ND
R6 R10 R18 R26 R27 R32,6,RES SMD 100K OHM 0.1% 1/10W 0603,Susumu,RG1608P-104-B-T5,RG16P100KBCT-ND
R7,1,RES SMD 4.7 OHM 1% 1/2W 0805,Panasonic,ERJ-6DQF4R7V,P19284CT-ND
R8,1,RES SMD 330 OHM 1% 1/2W 0805,Panasonic,ERJ-P6WF3300V,P16879CT-ND
R9,1,RES SMD 120K OHM 0.1% 1/10W 0603,Susumu,RG1608P-124-B-T5,RG16P120KBCT-ND
R11 R22 R30,3,RES SMD 200K OHM 0.1% 1/10W 0603,Susumu,RG1608P-204-B-T5,RG16P200KBCT-ND
R12 R13 R14 R15 R16 R17 R19 R23 R25 R29 R33,11,RES SMD 24.9KOHM 0.1% 1/10W 0603,Susumu,RG1608P-2492-B-T5,RG16P24.9KBCT-ND
R20 R28,2,RES SMD 49.9KOHM 0.1% 1/10W 0603,Susumu,RG1608P-4992-B-T5,RG16P49.9KBCT-ND
R21 R24,2,RES SMD 39K OHM 0.1% 1/10W 0603,Susumu,RG1608P-393-B-T5,RG16P39.0KBCT-ND
S1,1,ENCODER ROTARY,Song Huei,ED1212S-24P-24C-25KC,N/A
U1,1,IC MCU 32BIT 128KB FLASH 48LQFP,STMicroelectronics,STM32F103CBT6,497-6288-ND
U2,1,IC DAC 16BIT SNGL W/SPI 8VSSOP,Texas Instruments,DAC8551IADGKT,296-21222-1-ND
U3,1,IC VREF SHUNT 2.5V SOT23-3,Texas Instruments,LM4040B25IDBZR,296-20872-1-ND
U4,1,IC ADC 12BIT 2.7V 4CH SPI14TSSOP,Microchip Technology,MCP3204-CI/ST,MCP3204-CI/ST-ND
U5,1,IC REG LINEAR 3.3V 800MA SOT223,Texas Instruments,LM1117IMP-3.3/NOPB,LM1117IMP-3.3/NOPBCT-ND
U6,1,IC VREF SHUNT 10V SOT23-3,Texas Instruments,LM4040B10IDBZR,296-20869-1-ND
U7,1,IC OPAMP GP 1MHZ RRO 14TSSOP,Microchip Technology,MCP6004T-I/ST,MCP6004T-I/STCT-ND
U8,1,IC OPAMP JFET 3MHZ 14TSSOP,Texas Instruments,TL074CPWR,296-7198-1-ND
U9,1,IC OPAMP JFET 3MHZ 8TSSOP,Texas Instruments,TL072CPWR,296-7193-1-ND
X1,1,CRYSTAL 8.0000MHZ 18PF SMD,Abracon,ABM2-8.000MHZ-D4Y-T,535-10870-1-ND
